0,s
20042.80c inelastic,0
20042.80c fission,0
20042.80c n2n,0
20042.80c ngamma,0
20042.80c np,0
20042.80c nd,0
20042.80c nt,0
20042.80c n3he,0
20042.80c nalpha,0
20042.80c total nu,0
20042.80c fission chi,0
20043.80c elastic,0
20043.80c inelastic,0
20043.80c fission,0
20043.80c n2n,0
20043.80c ngamma,0
20043.80c np,0
20043.80c nd,0
20043.80c nt,0
20043.80c n3he,0
20043.80c nalpha,0
20043.80c total nu,0
20043.80c fission chi,0
20044.80c elastic,0
20044.80c inelastic,0
20044.80c fission,0
20044.80c n2n,0
20044.80c ngamma,0
20044.80c np,0
20044.80c nd,0
20044.80c nt,0
20044.80c n3he,0
20044.80c nalpha,0
20044.80c total nu,0
20044.80c fission chi,0
20046.80c elastic,0
20046.80c inelastic,0
20046.80c fission,0
20046.80c n2n,0
20046.80c ngamma,0
20046.80c np,0
20046.80c nd,0
20046.80c nt,0
20046.80c n3he,0
20046.80c nalpha,0
20046.80c total nu,0
20046.80c fission chi,0
20048.80c elastic,0
20048.80c inelastic,0
20048.80c fission,0
20048.80c n2n,0
20048.80c ngamma,0
20048.80c np,0
20048.80c nd,0
20048.80c nt,0
20048.80c n3he,0
20048.80c nalpha,0
20048.80c total nu,0
20048.80c fission chi,0
18036.80c elastic,0
18036.80c inelastic,0
18036.80c fission,0
18036.80c n2n,0
18036.80c ngamma,0
18036.80c np,0
18036.80c nd,0
18036.80c nt,0
18036.80c n3he,0
18036.80c nalpha,0
18036.80c total nu,0
18036.80c fission chi,0
18038.80c elastic,0
18038.80c inelastic,0
18038.80c fission,0
18038.80c n2n,0
18038.80c ngamma,0
18038.80c np,0
18038.80c nd,0
18038.80c nt,0
18038.80c n3he,0
18038.80c nalpha,0
18038.80c total nu,0
18038.80c fission chi,0
18040.80c elastic,0
18040.80c inelastic,0
18040.80c fission,0
18040.80c n2n,0
18040.80c ngamma,0
18040.80c np,0
18040.80c nd,0
18040.80c nt,0
18040.80c n3he,0
18040.80c nalpha,0
18040.80c total nu,0
18040.80c fission chi,0
3006.80c elastic,0
3006.80c inelastic,0
3006.80c fission,0
3006.80c n2n,0
3006.80c ngamma,0
3006.80c np,0
3006.80c nd,0
3006.80c nt,0
3006.80c n3he,0
3006.80c nalpha,0
3006.80c total nu,0
3006.80c fission chi,0
3007.80c elastic,0
3007.80c inelastic,0
3007.80c fission,0
3007.80c n2n,0
3007.80c ngamma,0
3007.80c np,0
3007.80c nd,0
3007.80c nt,0
3007.80c n3he,0
3007.80c nalpha,0
3007.80c total nu,0
3007.80c fission chi,0
hwtr.20t elastic,0
hwtr.20t inelastic,0
hwtr.20t fission,0
hwtr.20t n2n,0
hwtr.20t ngamma,0
hwtr.20t np,0
hwtr.20t nd,0
hwtr.20t nt,0
hwtr.20t n3he,0
hwtr.20t nalpha,0
hwtr.20t total nu,0
hwtr.20t fission chi,0
17035.80c elastic,0
17035.80c inelastic,0
17035.80c fission,0
17035.80c n2n,0
17035.80c ngamma,0
17035.80c np,0
17035.80c nd,0
17035.80c nt,0
17035.80c n3he,0
17035.80c nalpha,0
17035.80c total nu,0
17035.80c fission chi,0
17037.80c elastic,0
17037.80c inelastic,0
17037.80c fission,0
